school_name,address,phone,email,source_url
Monster English,"459 Achasan-ro, Gwangjin District, Seoul, South Korea",,,https://www.theworknplay.com/Work/MonsterEnglish
Speaking Proficiency Enhancement Program,"Shinwon B/D, 861, Eonju-ro, Gangnam-gu, Seoul, Korea",,,https://www.theworknplay.com/Work/SpeakingProficiencyEnhancementProgram
RISE Mapo,"40-19 Nogosan-dong, Mapo-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/RISEMapo11
Reading Star International Language Academy,"J Building 3F, 146 Bongseon-ro, Nam-gu, Gwangju, South Korea",,,https://www.theworknplay.com/Work/ReadingStarInternationalLanguageAcademy
Sullivan School,"Sullivan School, 543-4 Sinsa-dong, Gangnam-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/SullivanSchool11
JLS Hanam Misa,"JLS, 3rd floor, Leader's Plaza, 578 Mangwol-dong, Hanam-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/JLSHanamMisa
YBM ECC Muan,"4F, Central Plaza, 49 Namak 4-ro, Samhyang-eup, Muan-gun, Jeollanam-do, South Korea",,,https://www.theworknplay.com/Work/YBMECCMuan
Berkeley Edu,"12F, 13F, 14F, 6 Jwadongsunhwan-ro, Haeundae-gu, Busan, South Korea",,,https://www.theworknplay.com/Work/BerkeleyEdu
SLP Ulsan,"377 Munsu-ro, Nam-gu, Ulsan, South Korea",,,https://www.theworknplay.com/Work/SLPUlsan
Poly Yongin,"7F (Main Building), 122 Pungdeokcheon-ro, Suji-gu, Yongin-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/PolyYongin
RISE Hanam,"The 60 Building, 3F, 60 Misagangbyeon-daero, Hanam, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/RISEHanam
KizCo,"169 Bulgwang-ro, Eunpyeong-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/KizCo
EiE Gapyeong,"2F, 168 Seokbong-ro, Gapyeong-eup, Gapyeong-gun, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/EiEGapyeong
Francis Parker Collegiate Yangsan,"2F - 3F, 20-1 Seodeul5-gil Mulgeum-eup, Yangsan-si, Gyeongnam, South Korea",,,https://www.theworknplay.com/Work/FrancisParkerCollegiateYangsan
Little Fox Jeonju,"2F, 24 Hwasancheonbyeon-ro, Wansan-gu, Jeonju, Jeollabuk-do, South Korea",,,https://www.theworknplay.com/Work/LittleFoxJeonju
Creverse April Busan Yeonje,"96 Asiad-daero, Yeonje-gu, Busan, South Korea",,,https://www.theworknplay.com/Work/CreverseAprilBusanYeonje
Maple College Dongtan,"Unit 901-902, 130 Dongtanbanseok-ro, Hwaseong-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/MapleCollegeDongtan
JLS Pohang,"2F, 4 Daei-ro 111beon-gil, Nam-gu, Pohang-si, Gyeongsangbuk-do, South Korea",,,https://www.theworknplay.com/Work/JLSPohang
